"fecha_vigencia","precio","provincia","localidad","direccion"
"01/02/2024",839,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"01/02/2024",839,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"01/04/2024",944,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"01/04/2024",944,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"01/05/2024",982,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"01/05/2024",982,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"01/06/2024",1022,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"01/06/2024",1022,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"01/07/2024",1053,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"01/07/2024",1053,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"02/03/2024",902,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"02/03/2024",902,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"03/01/2024",788,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"03/01/2024",788,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"08/12/2023",456,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"08/12/2023",456,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"13/12/2023",625,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"13/12/2023",625,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
"01/02/2024",638,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"01/02/2024",638,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"01/04/2024",718,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"01/04/2024",718,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"01/05/2024",747,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"01/05/2024",747,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"01/06/2024",777,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"01/06/2024",777,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"01/07/2024",800,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"01/07/2024",800,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"02/03/2024",686,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"02/03/2024",686,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"03/01/2024",628,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"03/01/2024",628,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"08/12/2023",356,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"08/12/2023",356,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"13/12/2023",498,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"13/12/2023",498,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
"01/02/2024",858,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"01/02/2024",858,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"01/04/2024",966,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"01/04/2024",966,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"01/05/2024",1005,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"01/05/2024",1005,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"01/06/2024",1046,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"01/06/2024",1046,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"01/07/2024",1077,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"01/07/2024",1077,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"02/03/2024",923,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"02/03/2024",923,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"03/01/2024",806,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"03/01/2024",806,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"08/12/2023",476,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"08/12/2023",476,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"13/12/2023",639,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"13/12/2023",639,"ENTRE RIOS","CONCEPCION DEL URUGUAY","9 DE JULIO 560"
"01/02/2024",825,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"01/02/2024",825,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"01/04/2024",929,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"01/04/2024",929,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"01/05/2024",966,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"01/05/2024",966,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"01/06/2024",1021,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"01/06/2024",1021,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"01/07/2024",1053,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"01/07/2024",1053,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"02/03/2024",887,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"02/03/2024",887,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"03/01/2024",775,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"03/01/2024",775,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"03/05/2024",981,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"03/05/2024",981,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"04/06/2024",1022,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"04/06/2024",1022,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"08/12/2023",448,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"08/12/2023",448,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"13/12/2023",614,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"13/12/2023",614,"BUENOS AIRES","LOMAS DE ZAMORA","Santa Fe 1005"
"01/02/2024",825,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"01/02/2024",825,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"01/04/2024",929,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"01/04/2024",929,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"01/05/2024",966,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"01/05/2024",966,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"01/06/2024",1021,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"01/06/2024",1021,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"01/07/2024",1053,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"01/07/2024",1053,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"02/03/2024",887,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"02/03/2024",887,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"03/01/2024",775,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"03/01/2024",775,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"03/05/2024",981,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"03/05/2024",981,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"04/06/2024",1022,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"04/06/2024",1022,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"08/12/2023",448,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"08/12/2023",448,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"13/12/2023",614,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"13/12/2023",614,"BUENOS AIRES","LOMAS DE ZAMORA","Las Heras 1740"
"01/02/2024",885,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"01/02/2024",885,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"01/04/2024",997,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"01/04/2024",997,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"01/05/2024",1037,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"01/05/2024",1037,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"01/06/2024",1079,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"01/06/2024",1079,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"01/07/2024",1111,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"01/07/2024",1111,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"02/03/2024",952,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"02/03/2024",952,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"03/01/2024",831,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"03/01/2024",831,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"08/12/2023",483,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"08/12/2023",483,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"13/12/2023",659,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"13/12/2023",659,"BUENOS AIRES","MAIPU","LAVALLE Y ALSINA"
"01/02/2024",799,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"01/02/2024",799,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"01/04/2024",899,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"01/04/2024",899,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"01/05/2024",935,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"01/05/2024",935,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"01/06/2024",973,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"01/06/2024",973,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"01/07/2024",999,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"01/07/2024",999,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"02/03/2024",859,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"02/03/2024",859,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"03/01/2024",755,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"03/01/2024",755,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"08/12/2023",430,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"08/12/2023",430,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"13/12/2023",599,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"13/12/2023",599,"MENDOZA","PALMIRA","Variante Ruta Prov. 50 KM. 1010"
"01/02/2024",871,"BUENOS AIRES","OLAVARRIA","MORENO 3002"
"01/02/2024",871,"BUENOS AIRES","OLAVARRIA","MORENO 3002"
"01/04/2024",981,"BUENOS AIRES","OLAVARRIA","MORENO 3002"
"01/04/2024",981,"BUENOS AIRES","OLAVARRIA","MORENO 3002"
